dataset,statistic_type,statistic_config,build_window_size_sec,bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,latency_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,statisticStoreType,issue
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,15805001105.507524,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,0.422557052,435424566.05362725,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,15437898035.714926,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,0.432605181,425310951.141845,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,21853736478.110023,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,0.305600586,602065995.3839225,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,21816791069.742096,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,0.306118102,601048156.8973011,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,19707876046.422546,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,0.338875415,542947976.9135804,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,4284992906.573461,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,1.558582434,118050683.09912698,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,4106311260.4949384,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,1.626402445,113128040.08973314,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,4171794619.703302,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,1.600873313,114932093.31799263,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,15352932602.419945,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,0.434999283,422970170.73474115,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,15315898557.828943,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,0.436051117,421949890.33820087,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,15549612504.20512,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,0.429497177,428388662.0283886,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,20957154441.594196,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,0.318674689,577365342.6237438,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,20997493916.800274,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,0.318062465,578476686.9614747,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",60,21083494964.687805,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_60sec,0.316765066,580845998.3399811,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,3106349981.051051,Nexmark_CountMinBuild_1_100_uint64_60sec,2.149955644,85579310.21203896,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,3146487985.011618,Nexmark_CountMinBuild_1_100_uint64_60sec,2.122529851,86685104.05793111,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,3117426192.8296437,Nexmark_CountMinBuild_1_100_uint64_60sec,2.142316854,85884457.59387186,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,11489477234.39021,Nexmark_CountMinBuild_1_100_uint64_60sec,0.581272284,316532761.0906699,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,11498534567.200544,Nexmark_CountMinBuild_1_100_uint64_60sec,0.580814419,316782288.76752454,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,11474862186.237175,Nexmark_CountMinBuild_1_100_uint64_60sec,0.582012626,316130119.4864456,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,20661271901.88621,Nexmark_CountMinBuild_1_100_uint64_60sec,0.323238313,569213838.8310423,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,20961881073.29818,Nexmark_CountMinBuild_1_100_uint64_60sec,0.318602832,577495560.3658916,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",60,20735542211.05353,Nexmark_CountMinBuild_1_100_uint64_60sec,0.322080542,571259970.7435912,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
